dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L232976406.AAWH.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL232976406.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL232976406.20230525>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.077
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236373701.AAWH.20231023.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236373701.20231023.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236373701.20231023>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.08
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L196142701.AAWH.20191107.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL196142701.20191107.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL196142701.20191107>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.08
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233750101.AAWH.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233750101.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233750101.20230628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.08
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222851702.AAWH.20220531.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222851702.20220531.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222851702.20220531>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.082
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222260203.AAWH.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222260203.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222260203.20220428>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.082
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223797004.AAWH.20220713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223797004.20220713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223797004.20220713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.083
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234120608.AAWH.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234120608.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234120608.20230718>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408406.AAWH.20231025.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408406.20231025.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408406.20231025>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234936702.AAWH.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234936702.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234936702.20230823>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L231475001.AAWH.20230321.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL231475001.20230321.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL231475001.20230321>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226311502.AAWH.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226311502.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226311502.20221108>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L221989503.AAWH.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL221989503.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221989503.20220415>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.084
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L225228903.AAWH.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL225228903.20220921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL225228903.20220921>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.086
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222131507.AAWH.20220422.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222131507.20220422.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222131507.20220422>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.086
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408404.AAWH.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408404.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408404.20230922>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.086
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234120607.AAWH.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234120607.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234120607.20230718>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.086
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947109.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947109.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947109.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.087
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947109.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947109.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947109.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.087
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204115217R.AAWH.20200925.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204115217R.20200925.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204115217R.20200925>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.089
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234421301.AAWH.20230801.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234421301.20230801.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234421301.20230801>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.089
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408407.AAWH.20231025.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408407.20231025.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408407.20231025>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.09
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947103.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947103.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947103.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.09
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233947103.AAWH.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233947103.20230707.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233947103.20230707>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.09
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226443504.AAWH.20221115.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226443504.20221115.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226443504.20221115>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.091
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204767101.AAWH.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204767101.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204767101.20201029>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.092
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236230102.AAWH.20231019.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236230102.20231019.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236230102.20231019>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.092
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234056601.AAWH.20230712.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234056601.20230712.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234056601.20230712>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.093
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236005804.AAWH.20231006.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236005804.20231006.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236005804.20231006>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.093
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235002005.AAWH.20230822.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235002005.20230822.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235002005.20230822>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.094
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236612501.AAWH.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236612501.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236612501.20231106>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.094
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L193561215.AAWH.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL193561215.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL193561215.20190806>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.095
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222260201.AAWH.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222260201.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222260201.20220428>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.095
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236373706.AAWH.20231024.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236373706.20231024.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236373706.20231024>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.095
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236373705.AAWH.20231024.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236373705.20231024.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236373705.20231024>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.095
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233750106.AAWH.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233750106.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233750106.20230628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.095
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222370002.AAWH.20220503.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222370002.20220503.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222370002.20220503>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.096
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234936701.AAWH.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234936701.20230823.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234936701.20230823>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.096
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L196142704.AAWH.20191107.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL196142704.20191107.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL196142704.20191107>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.097
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226352701.AAWH.20221110.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226352701.20221110.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226352701.20221110>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.097
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L192188903.AAWH.20190522.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL192188903.20190522.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL192188903.20190522>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.097
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L193561205.AAWH.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL193561205.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL193561205.20190806>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.099
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235002004.AAWH.20230822.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235002004.20230822.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235002004.20230822>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.099
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061710.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061710.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061710.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061710.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061710.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061710.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222613401.AAWH.20220517.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222613401.20220517.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222613401.20220517>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226840001.AAWH.20221205.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226840001.20221205.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226840001.20221205>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223623901.AAWH.20220706.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223623901.20220706.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223623901.20220706>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234163801.AAWH.20230720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234163801.20230720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234163801.20230720>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.1
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222461301.AAWH.20220510.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222461301.20220510.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222461301.20220510>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.101
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223623902.AAWH.20220706.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223623902.20220706.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223623902.20220706>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.101
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235558101.AAWH.20230921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235558101.20230921.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235558101.20230921>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.101
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226311505.AAWH.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226311505.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226311505.20221108>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.102
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204769002.AAWH.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204769002.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204769002.20201029>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.102
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223797001.AAWH.20220713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223797001.20220713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223797001.20220713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.102
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226311706.AAWH.20221109.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226311706.20221109.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226311706.20221109>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.103
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234120606.AAWH.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234120606.20230718.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234120606.20230718>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.104
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222613601.AAWH.20220517.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222613601.20220517.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222613601.20220517>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.104
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L213584001.AAWH.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL213584001.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL213584001.20210629>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.105
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L224056901.AAWH.20220726.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224056901.20220726.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224056901.20220726>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.106
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236020001.AAWH.20231011.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236020001.20231011.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236020001.20231011>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.106
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234978301.AAWH.20230824.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234978301.20230824.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234978301.20230824>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.106
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235952401.AAWH.20231004.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235952401.20231004.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235952401.20231004>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.106
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226442802.AAWH.20221115.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226442802.20221115.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226442802.20221115>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.107
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223952301.AAWH.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223952301.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223952301.20220720>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.108
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061702.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061702.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061702.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.108
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233450501.AAWH.20230612.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233450501.20230612.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233450501.20230612>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.108
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061702.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061702.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061702.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.108
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L193561214.AAWH.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL193561214.20190806.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL193561214.20190806>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.108
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L224989301.AAWH.20220913.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL224989301.20220913.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224989301.20220913>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.109
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234978302.AAWH.20230824.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234978302.20230824.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234978302.20230824>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.109
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L222260202.AAWH.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL222260202.20220428.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222260202.20220428>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.109
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234390901.AAWH.20230728.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234390901.20230728.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234390901.20230728>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.112
