testPoint,feature,observation,substance,concentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,10.52,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,10.52,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,17.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,4.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,34.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,9.81,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,2.66,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,4.88,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,51.4,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,66.1,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,66.1,http://qudt.org/vocab/unit/NanoGM-PER-L
