observation,feature,sample,property,substance,result,value,unit,sampleMaterialType,samplePoint
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.335762,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.335762,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.335773,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFDS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.335773,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.355464,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.355464,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.375224,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.375224,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.375735,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.375735,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.375859,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.375859,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.375928,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.375928,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.375951,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFNA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.375951,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.376067,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFTEA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.376067,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.39108344,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.8-2_FTS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.39108344,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
