feature,featureType,sample,date,cumulativeConcentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145495,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL214760302.20210903,2021-09-03T11:17:00,2732.36,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145496,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL214760303.20210903,2021-09-03T09:25:00,3942.879,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145496,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL214760303RE.20210903,2021-09-03T09:25:00,4830.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145858,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL215914001.20211028,2021-10-28T10:00:00,3351.358,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145858,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216091601R.20211104,2021-11-04T10:45:00,3488.741,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139326,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383301.20211116,2021-11-16T14:25:00,2386.502,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139326,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383301RE.20211116,2021-11-16T14:25:00,6320.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139327,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383302.20211116,2021-11-16T14:08:00,3080.401,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139327,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383302RE.20211116,2021-11-16T14:08:00,3730.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.118107,STORM DRAIN,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383303.20211116,2021-11-16T14:10:00,4051.438,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.118107,STORM DRAIN,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383303RE.20211116,2021-11-16T14:10:00,6420.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146225,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383304.20211116,2021-11-16T14:45:00,392.587,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146226,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216383305.20211116,2021-11-16T15:05:00,303.867,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145858,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216423602.20211118,2021-11-18T15:00:00,3633.608,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145858,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216423603.20211118,2021-11-18T15:00:00,3868.621,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216423604.20211118,2021-11-18T15:30:00,1585.905,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216423604RE.20211118,2021-11-18T15:30:00,14180.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40534,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216682801.20211206,2021-12-06T09:47:00,18048.1,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40534,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216682801RE.20211206,2021-12-06T09:47:00,41810.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40499,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216720601.20211207,2021-12-07T14:15:00,11275.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40499,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216720601RE.20211207,2021-12-07T14:15:00,160600.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146255,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216952605.20211215,2021-12-15T12:10:00,27.711,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146256,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL216953104.20211215,2021-12-15T14:53:00,131.386,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145858,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220094101.20211229,2021-12-29T11:30:00,3478.501,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220094102.20211229,2021-12-29T11:50:00,1441.47,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220094102RE.20211229,2021-12-29T11:50:00,16770.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220094103.20211229,2021-12-29T11:50:00,1453.273,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220094103RE.20211229,2021-12-29T11:50:00,15540.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.151412,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220446504.20220126,2022-01-26T11:30:00,1584.499,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220721101.20220210,2022-02-10T10:00:00,1488.953,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.145860,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL220721101RE.20220210,2022-02-10T10:00:00,3830.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147390,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221220911.20220308,2022-03-08T14:05:00,2549.84,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147390,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221220911RE.20220308,2022-03-08T14:05:00,4030.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147234,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221666401.20220329,2022-03-29T12:00:00,261.66,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148533,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166601.20220414,2022-04-14T12:30:00,2408.495,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148532,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166602.20220414,2022-04-14T12:00:00,2568.958,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148534,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166603.20220414,2022-04-14T11:30:00,2713.803,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148536,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166607.20220414,2022-04-14T10:20:00,6726.072,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148535,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166608.20220414,2022-04-14T10:00:00,7009.463,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148537,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222166609.20220414,2022-04-14T09:30:00,6528.543,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.64289,UNDER DRAIN,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222290304.20220502,2022-05-02T08:00:00,934.16,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.55912,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222290308.20220502,2022-05-02T11:45:00,376.18,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65477,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222461801.20220510,2022-05-10T11:00:00,23.401,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148545,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222461803.20220506,2022-05-06T13:15:00,124.127,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139327,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222527101.20220512,2022-05-12T10:35:00,3017.748,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139326,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222527102.20220512,2022-05-12T10:40:00,2426.876,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.139326,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222527102RE.20220512,2022-05-12T10:40:00,951.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146226,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222527104.20220512,2022-05-12T11:20:00,1334.132,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146225,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222527105.20220512,2022-05-12T11:25:00,530.165,http://qudt.org/vocab/unit/NanoGM-PER-L
